vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.023500000000000007,0.0007499999999999993,0.11224999999999985,-0.01602449719791109,0.003460426720565726,0.016484419103864424,-0.02313,0.85198,-1.66586,0.00511,0.86933,-1.66786,-0.00707,0.84223,-1.66495,-0.00812,0.84369,-1.66738,0.023500000000000007,0.0007499999999999993,0.11224999999999985,0.29239,0.18794,0.13535,-0.28865,0.18327,-0.14054,-0.28656,-0.1962,0.13997,-0.28737,-0.19626,-0.14432,-0.28554,0.00297,0.00068,0.002740012840004254,-0.0017600082475939737,0.0001500007029199409,0.9999946860860782
0.018250000000000006,-0.0015000000000000011,0.10975000000000013,0.0069470415236747825,0.02442431888307678,0.02807943888387726,-0.02171,0.84461,-1.65131,0.00623,0.86239,-1.65343,-0.00995,0.84217,-1.66243,-0.00608,0.83711,-1.65329,0.018250000000000006,-0.0015000000000000011,0.10975000000000013,0.2947,0.18792,0.13571,-0.29081,0.18311,-0.1402,-0.28893,-0.19655,0.13914,-0.28803,-0.19642,-0.14375,-0.28795,0.00336,0.00065,0.001979993995380315,-0.0013999957543093136,0.000429998695966432,0.9999969673637954
0.01674999999999999,-0.0017499999999999992,0.09799999999999948,0.06898474190783123,-0.022507652465717856,0.018552258789758736,-0.02351,0.83907,-1.6397,0.00414,0.85678,-1.64102,-0.01699,0.83549,-1.64764,-0.00744,0.83188,-1.6413,0.01674999999999999,-0.0017499999999999992,0.09799999999999948,0.29678,0.18781,0.13514,-0.29278,0.18287,-0.1408,-0.29067,-0.19678,0.13707,-0.291,-0.19666,-0.14416,-0.28969,0.0037,0.00062,0.0028800138075392953,-0.0012700060887412866,0.0007100034039419791,0.9999947942365347
0.019999999999999987,-0.002500000000000001,0.09350000000000053,0.060579399438111844,-0.051358829949982886,-0.034071290914146804,-0.02429,0.83399,-1.62624,0.00309,0.85169,-1.62736,-0.01827,0.82881,-1.63078,-0.00816,0.82815,-1.62984,0.019999999999999987,-0.002500000000000001,0.09350000000000053,0.29862,0.18729,0.13486,-0.29493,0.18228,-0.1411,-0.29267,-0.19732,0.13665,-0.29373,-0.19727,-0.14438,-0.29139,0.00403,0.00058,0.0033600078083312183,-0.0018500042992299864,0.0008000018591264806,0.9999923238848617
0.024250000000000008,-0.0034999999999999996,0.09699999999999986,-0.01788753737769644,0.007700615531299718,-0.06400788001854993,-0.02544,0.83191,-1.61552,0.00263,0.84671,-1.61478,-0.02042,0.82425,-1.61634,-0.01041,0.82308,-1.61688,0.024250000000000008,-0.0034999999999999996,0.09699999999999986,0.30052,0.18629,0.13448,-0.29666,0.18182,-0.14123,-0.29455,-0.19813,0.13597,-0.29614,-0.19771,-0.14506,-0.29317,0.0045,0.00052,0.004089995870946752,-0.002299997678038516,2.9999969713545867e-05,0.9999889904616243
0.025250000000000012,-0.002249999999999999,0.09450000000000014,-0.05687825679699365,0.05521677517198336,-0.05340582795099227,-0.02554,0.82882,-1.60575,0.00556,0.83992,-1.602,-0.02296,0.82477,-1.61396,-0.00857,0.81575,-1.60289,0.025250000000000012,-0.002249999999999999,0.09450000000000014,0.3025,0.18572,0.13441,-0.29816,0.18186,-0.14035,-0.29679,-0.19864,0.13521,-0.29673,-0.19764,-0.14454,-0.2955,0.005,0.00044,0.003000011819319848,-0.0017000066976145805,-0.0004800018910911757,0.999993939733885
0.024749999999999987,-0.00025000000000000066,0.08625000000000022,0.0035619623018523765,0.014095788041885882,-0.032451973739015746,-0.02501,0.82294,-1.59237,0.00626,0.83414,-1.59095,-0.03102,0.82271,-1.60606,-0.00918,0.81009,-1.59179,0.024749999999999987,-0.00025000000000000066,0.08625000000000022,0.3043,0.18543,0.13452,-0.30015,0.18187,-0.14013,-0.29855,-0.19922,0.13278,-0.29863,-0.19763,-0.14473,-0.29713,0.00551,0.00043,0.002950012944390198,-0.0012000052655146568,-0.001040004563446036,0.9999943878850015
0.026000000000000002,0.0,0.08249999999999924,-0.012534179280359185,-0.037475136781141616,-0.0041256193238321,-0.02813,0.82247,-1.58601,0.00609,0.82939,-1.57885,-0.0321,0.81541,-1.58832,-0.00952,0.8067,-1.5819,0.026000000000000002,0.0,0.08249999999999924,0.30595,0.18459,0.13356,-0.30137,0.18141,-0.14017,-0.30035,-0.19974,0.13237,-0.30142,-0.19812,-0.14485,-0.29859,0.00599,0.00043,0.0030700111774705427,-0.001420005170035235,-0.0011300041141829686,0.9999936408334751
0.025,0.0012500000000000005,0.08724999999999983,-0.06003628408019245,0.008970191815596293,0.03194271707515926,-0.0339,0.82184,-1.577,0.00667,0.82545,-1.56638,-0.03129,0.81184,-1.57615,-0.00881,0.80373,-1.57101,0.025,0.0012500000000000005,0.08724999999999983,0.3076,0.18339,0.13177,-0.30319,0.18065,-0.13999,-0.30225,-0.20054,0.13256,-0.30318,-0.19889,-0.14465,-0.30029,0.00655,0.00043,0.0027000103316093013,-0.0019500074617178284,-0.0011200042857045988,0.9999938264836982
0.0175,0.00825,0.09750000000000036,-0.03448820934195978,0.05497165161705946,0.025081574520228474,-0.03734,0.81756,-1.56864,0.00748,0.81821,-1.55201,-0.03209,0.80959,-1.57162,-0.00639,0.79627,-1.55595,0.0175,0.00825,0.09750000000000036,0.30944,0.18338,0.13068,-0.30474,0.18057,-0.13973,-0.30448,-0.20056,0.13229,-0.30393,-0.19895,-0.14394,-0.30279,0.00699,0.00048,0.0018699950682685097,-0.001239996729760937,-0.0004899987077281122,0.999997362710433
